,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
87,Goias,Brazil,2009-10-17,BR1,1,1,2,Avai,3.6,3.3,2.04,1.57,2009,2.35
88,Santos,Brazil,2009-10-17,BR1,1,0,0,Barueri,3.5,3.3,2.0,1.7,2009,2.1
89,Atletico-MG,Brazil,2009-10-17,BR1,1,1,0,Sao Paulo,5.5,3.75,1.62,1.85,2009,1.95
90,Cruzeiro,Brazil,2009-10-12,BR1,1,1,0,Atletico-MG,2.2,3.25,3.3,1.8,2009,2.0
91,Avai,Brazil,2009-10-12,BR1,1,2,2,Botafogo RJ,4.5,3.75,1.73,1.6,2009,2.29
92,Sport Recife,Brazil,2009-10-12,BR1,1,1,1,Goias,5.75,3.8,1.57,1.53,2009,2.4
93,Palmeiras,Brazil,2009-10-12,BR1,1,0,3,Nautico,2.38,3.25,3.0,1.95,2009,1.85
94,Vitoria,Brazil,2009-10-12,BR1,1,0,0,Santos,4.0,3.5,1.85,1.67,2009,2.15
95,Gremio,Brazil,2009-10-10,BR1,1,1,2,Corinthians,3.4,3.3,2.1,1.75,2009,2.04
96,Barueri,Brazil,2009-10-10,BR1,1,2,1,Coritiba,4.33,3.5,1.83,1.67,2009,2.15
97,Sao Paulo,Brazil,2009-10-10,BR1,1,1,2,Flamengo RJ,2.5,3.25,2.8,1.95,2009,1.85
98,Atletico-PR,Brazil,2009-10-10,BR1,1,1,1,Internacional,6.5,4.0,1.53,1.6,2009,2.29
99,Fluminense,Brazil,2009-10-10,BR1,1,2,1,Santo Andre,3.3,3.3,2.2,1.95,2009,1.85
100,Atletico-MG,Brazil,2009-10-09,BR1,1,1,3,Botafogo RJ,4.0,3.5,1.91,1.85,2009,1.95
101,Goias,Brazil,2009-10-09,BR1,1,0,3,Cruzeiro,4.75,3.75,1.75,1.6,2009,2.29
102,Avai,Brazil,2009-10-09,BR1,1,2,2,Palmeiras,8.0,3.75,1.5,1.62,2009,2.25
103,Gremio,Brazil,2009-10-08,BR1,1,0,0,Atletico-PR,2.5,3.3,2.8,1.8,2009,2.0
104,Santo Andre,Brazil,2009-10-08,BR1,1,0,0,Barueri,4.2,3.5,1.85,1.62,2009,2.25
105,Corinthians,Brazil,2009-10-08,BR1,1,1,1,Fluminense,3.25,3.25,2.25,1.8,2009,2.0
106,Nautico,Brazil,2009-10-08,BR1,1,1,3,Internacional,10.0,5.0,1.3,1.45,2009,2.7
107,Coritiba,Brazil,2009-10-08,BR1,1,2,2,Sao Paulo,5.5,3.75,1.62,1.8,2009,2.0
108,Santos,Brazil,2009-10-08,BR1,1,1,0,Sport Recife,4.0,3.5,1.91,1.67,2009,2.15
109,Flamengo RJ,Brazil,2009-10-08,BR1,1,3,3,Vitoria,4.33,3.5,1.83,1.7,2009,2.1
110,Cruzeiro,Brazil,2009-10-04,BR1,1,2,2,Avai,2.75,3.4,2.5,1.75,2009,2.04
111,Internacional,Brazil,2009-10-04,BR1,1,0,2,Coritiba,2.9,3.2,2.45,1.95,2009,1.85
112,Fluminense,Brazil,2009-10-04,BR1,1,0,2,Flamengo RJ,3.4,3.4,2.04,1.8,2009,2.0
113,Botafogo RJ,Brazil,2009-10-04,BR1,1,3,1,Goias,4.5,3.6,1.75,1.57,2009,2.35
114,Sport Recife,Brazil,2009-10-04,BR1,1,3,3,Gremio,8.5,4.59,1.36,1.55,2009,2.38
115,Palmeiras,Brazil,2009-10-04,BR1,1,3,1,Santos,2.8,3.25,2.5,1.8,2009,2.0
116,Barueri,Brazil,2009-10-03,BR1,1,1,2,Atletico-MG,5.0,3.5,1.7,1.57,2009,2.35
117,Atletico-PR,Brazil,2009-10-03,BR1,1,3,1,Corinthians,5.25,3.6,1.67,1.7,2009,2.1
118,Vitoria,Brazil,2009-10-03,BR1,1,0,1,Santo Andre,3.2,3.3,2.25,1.8,2009,2.0
119,Sao Paulo,Brazil,2009-10-01,BR1,1,2,1,Nautico,1.95,3.3,3.8,1.95,2009,1.85
120,Santos,Brazil,2009-09-27,BR1,1,1,3,Atletico-MG,3.75,3.3,2.0,1.75,2009,2.04
121,Vitoria,Brazil,2009-09-27,BR1,1,3,1,Botafogo RJ,5.5,3.8,1.6,1.53,2009,2.4
122,Nautico,Brazil,2009-09-27,BR1,1,0,2,Coritiba,5.0,4.0,1.62,1.73,2009,2.1
123,Avai,Brazil,2009-09-27,BR1,1,2,3,Fluminense,3.2,3.25,2.25,1.8,2009,2.0
124,Gremio,Brazil,2009-09-27,BR1,1,1,2,Goias,3.1,3.25,2.29,1.65,2009,2.2
125,Flamengo RJ,Brazil,2009-09-27,BR1,1,0,0,Internacional,5.0,3.5,1.73,1.67,2009,2.2
126,Corinthians,Brazil,2009-09-27,BR1,1,1,1,Sao Paulo,4.0,3.5,1.91,1.95,2009,1.85
